D000315548,695_129
D000359542,1017_73
D000359542,1202_16
D000359542,1365_180
D000359542,1471_181
D000359542,1750_22
D000359542,2208_23
D000364072,1539_63
D000364072,1595_138
D000364072,190_32
D000364072,1911_158
D000364072,1945_11
D000364072,2102_147
D000364072,2205_168
D000364072,590_50
D000364249,101_85
D000364249,1279_60
D000364249,142_77
D000364249,1723_117
D000364249,1992_97
D000364249,2053_177
D000364249,2266_179
D000364249,2279_98
D000364249,285_48
D000364249,502_179
D000364249,643_32
D000364249,868_130
D000364546,1428_142
D000364546,1430_67
D000364546,1496_102
D000364546,1636_16
D000364546,2034_31
D000364546,2142_121
D000364546,2200_34
D000364546,2425_118
D000364546,2471_8
D000364546,444_85
D000364546,601_4
D000366168,2063_43
D000366168,224_67
D000366168,583_148
D000366168,835_27
D000368544,1438_55
D000368544,191_30
D000368544,2327_28
D000368544,2351_158
D000368544,466_74
D000368544,797_23
D000368544,895_81
D000373050,119_105
D000373050,1255_100
D000373050,1929_162
D000373050,1950_104
D000373050,2072_135
D000373050,2119_35
D000373050,2203_89
D000373050,2228_104
D000373050,2399_61
D000373050,2438_107
D000373050,269_19
D000373050,375_116
D000373050,443_139
D000374064,2057_22
D000374064,2272_83
D000374064,280_173
D000374064,755_147
D000376617,170_52
D000376617,175_169
D000376617,1817_56
D000376617,1919_1
D000376617,1987_26
D000376617,2114_44
D000376617,916_52
D000377775,2328_155
D000377775,505_86
D000377775,762_148
D000377775,881_17
D000380003,1211_158
D000380003,1254_60
D000380003,1408_94
D000380003,1833_186
D000380003,438_165
D000380003,628_116
D000381628,1374_23
D000381628,1389_32
D000381628,1418_37
D000381628,1562_66
D000381628,2029_1
D000381628,2177_30
D000381628,364_13
D000381628,734_137
D000381628,752_5
D000381628,850_84
D000381628,949_102
D000384155,1248_28
D000384155,1599_151
D000384155,1935_168
D000384155,2102_118
D000384155,2232_94
D000384155,456_18
D000384155,862_184
D000384414,1157_23
D000384414,1583_43
D000384414,1646_165
D000384414,1785_151
D000384414,2041_12
D000384414,2260_108
D000384414,2284_104
D000384414,2448_137
D000384414,698_123
D000389419,175_148
D000389419,2161_105
D000389419,21_114
D000389419,398_159
D000389419,485_33
D000389747,1015_123
D000389747,1331_46
D000389747,1511_108
D000389747,1746_29
D000389747,217_66
D000389747,2185_157
D000389747,316_131
D000389747,547_134
D000389747,659_92
D000389822,103_24
D000389822,1341_66
D000389822,1710_156
D000389822,2389_92
D000389822,68_146
D000390033,1000_42
D000390033,1115_24
D000390033,2155_59
D000390033,2305_83
D000390033,35_22
D000393096,1373_117
D000393096,1575_156
D000393096,1917_28
D000393096,1977_120
D000393096,260_103
D000393096,552_5
D000393621,107_153
D000393621,1135_38
D000393621,1268_114
D000393621,1554_173
D000393621,1614_87
D000393621,16_133
D000393621,2146_172
D000393621,2442_125
D000393621,291_50
D000393621,966_16
D000393621,9_151
D000393942,2014_21
D000393942,2424_16
D000393942,348_163
D000393942,490_33
D000393942,495_49
D000396790,1159_73
D000396790,1311_15
D000396790,1475_110
D000396790,1536_91
D000396790,1853_35
D000396790,1920_84
D000396790,2191_128
D000396790,2437_164
D000396790,42_92
D000396790,720_118
D000396790,780_166
D000397452,107_178
D000397452,148_50
D000397452,1768_118
D000397452,1855_20
D000397452,2309_67
